Sample in Buffer,Sample in Window,TRIGGER,i_tdc/i_tdc_core/encoder/position_out[6:0],i_tdc/i_tdc_core/selected_sample[95:0],i_tdc/i_tdc_core/tdc_state_delayed[3:0],i_tdc/i_tdc_core/tdc_state[3:0],i_tdc/i_tdc_core/fine_time_delayed[1:0],i_tdc/i_tdc_core/input_mux_addr[1:0],i_tdc/i_tdc_core/hit_status[1:0],i_tdc/i_tdc_core/fine_time[1:0],i_tdc/i_tdc_core/corse_time_delayed[15:0],i_tdc/sig_in_IBUF,i_tdc/i_tdc_core/tdl_input,i_tdc/i_tdc_core/trig_in_IBUF
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,BINARY,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
192,192,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
193,193,0,0c,111111111111111111111111111111111111111111111111111111111111100000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
194,194,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
195,195,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
196,196,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
197,197,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
198,198,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
199,199,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
200,200,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
201,201,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
202,202,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
203,203,0,00,000000000000000000000111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,1,2,0000,0,1,0
204,204,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,9,1,3,0,1,0000,0,1,0
205,205,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
206,206,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
207,207,0,4b,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,9,8,2,3,0,1,0000,0,1,0
208,208,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
209,209,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
210,210,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
211,211,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
212,212,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
213,213,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
214,214,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
215,215,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
216,216,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
217,217,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
218,218,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
219,219,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
220,220,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
221,221,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
222,222,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
223,223,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
224,224,0,00,000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111,8,8,1,3,1,0,0000,0,1,0
225,225,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,9,1,3,0,1,0000,0,1,0
226,226,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
227,227,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
228,228,0,24,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,9,8,0,3,0,1,0000,0,1,0
229,229,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
230,230,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
231,231,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
232,232,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
233,233,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
234,234,0,0c,111111111111111111111111111111111111111111111111100000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
235,235,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
236,236,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
237,237,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
238,238,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
239,239,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
240,240,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
241,241,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
242,242,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
243,243,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
244,244,0,00,000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,1,2,0000,0,1,0
245,245,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,9,1,3,0,1,0000,0,1,0
246,246,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
247,247,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
248,248,0,55,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,9,8,2,3,0,1,0000,0,1,0
249,249,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
250,250,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
251,251,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
252,252,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
253,253,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
254,254,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
255,255,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
256,256,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
257,257,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
258,258,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
259,259,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
260,260,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
261,261,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
262,262,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
263,263,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
264,264,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
265,265,0,00,000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111,8,8,1,3,1,0,0000,0,1,0
266,266,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,9,1,3,0,1,0000,0,1,0
267,267,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
268,268,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
269,269,0,2d,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,9,8,0,3,0,1,0000,0,1,0
270,270,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
271,271,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
272,272,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
273,273,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
274,274,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
275,275,0,0c,111111111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
276,276,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
277,277,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
278,278,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
279,279,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
280,280,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
281,281,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
282,282,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
283,283,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
284,284,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
285,285,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111,8,8,1,3,1,1,0000,0,1,0
286,286,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,9,1,3,0,1,0000,0,1,0
287,287,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
288,288,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
289,289,0,06,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,9,8,1,3,0,1,0000,0,1,0
290,290,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
291,291,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
292,292,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
293,293,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
294,294,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
295,295,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
296,296,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
297,297,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
298,298,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
299,299,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
300,300,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
301,301,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
302,302,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
303,303,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
304,304,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
305,305,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
306,306,0,00,000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111,8,8,1,3,1,0,0000,0,1,0
307,307,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,9,1,3,0,1,0000,0,1,0
308,308,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
309,309,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
310,310,0,38,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,9,8,0,3,0,1,0000,0,1,0
311,311,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
312,312,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
313,313,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
314,314,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
315,315,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
316,316,0,0c,111111111111111111111111111100000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
317,317,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
318,318,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
319,319,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
320,320,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
321,321,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
322,322,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
323,323,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
324,324,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
325,325,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
326,326,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111,8,8,1,3,1,1,0000,0,1,0
327,327,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,9,1,3,0,1,0000,0,1,0
328,328,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
329,329,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
330,330,0,10,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,9,8,1,3,0,1,0000,0,1,0
331,331,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
332,332,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
333,333,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
334,334,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
335,335,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
336,336,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
337,337,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
338,338,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
339,339,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
340,340,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
341,341,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
342,342,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
343,343,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
344,344,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
345,345,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
346,346,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
347,347,0,00,000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,1,0,0000,0,1,0
348,348,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,9,1,3,0,1,0000,0,1,0
349,349,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
350,350,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
351,351,0,44,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,9,8,0,3,0,1,0000,0,1,0
352,352,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
353,353,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
354,354,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
355,355,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
356,356,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
357,357,0,0c,111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
358,358,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
359,359,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
360,360,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
361,361,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
362,362,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
363,363,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
364,364,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
365,365,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
366,366,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
367,367,0,00,000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111,8,8,1,3,1,1,0000,0,1,0
368,368,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,9,1,3,0,1,0000,0,1,0
369,369,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
370,370,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
371,371,0,1c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,9,8,1,3,0,1,0000,0,1,0
372,372,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
373,373,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
374,374,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
375,375,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
376,376,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
377,377,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
378,378,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
379,379,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
380,380,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
381,381,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
382,382,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
383,383,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
384,384,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
385,385,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
386,386,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
387,387,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
388,388,0,00,000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,1,0,0000,0,1,0
389,389,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,9,1,3,0,1,0000,0,1,0
390,390,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
391,391,0,00,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
392,392,0,4d,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,9,8,0,3,0,1,0000,0,1,0
393,393,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
394,394,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
395,395,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,1,0
396,396,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
397,397,0,0c,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,8,8,1,3,0,1,0000,0,0,0
398,398,0,0c,111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
399,399,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
400,400,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
401,401,0,0c,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
402,402,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
403,403,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
404,404,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
405,405,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,0,0
406,406,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
407,407,0,00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,8,1,3,0,1,0000,0,1,0
408,408,0,00,000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111,8,8,1,3,1,1,0000,0,1,0
